GeographyCode,QS112NI0001,QS112NI0002,QS112NI0003,QS112NI0004,QS112NI0005,QS112NI0006,QS112NI0007,QS112NI0008,QS112NI0009,QS112NI0010,QS112NI0011,QS112NI0012
N92000002,1788339,196414,78101,118313,1591925,120264,217964,157198,318428,145178,245923,386970
BHSCT,342643,50611,18213,32398,292032,29610,48834,29836,54233,18458,39129,71932
NHSCT,457038,46858,19904,26954,410180,27101,56232,43028,84889,37878,62107,98945
SEHSCT,342197,36574,15394,21180,305623,21490,45130,35044,66831,25545,42419,69164
SHSCT,355580,32965,13634,19331,322615,21144,37418,27584,64614,36989,55025,79841
WHSCT,290881,29406,10956,18450,261475,20919,30350,21706,47861,26308,47243,67088
BELB,276141,42401,14555,27846,233740,26451,39532,22428,40808,14116,31172,59233
NEELB,420327,43835,18592,25243,376492,25315,52690,40358,78850,33764,55701,89814
SEELB,408699,44784,19052,25732,363915,24649,54432,42452,80256,29887,50376,81863
SELB,392291,35988,14946,21042,356303,22930,40960,30254,70653,41103,61431,88972
WELB,290881,29406,10956,18450,261475,20919,30350,21706,47861,26308,47243,67088
UKN01,276141,42401,14555,27846,233740,26451,39532,22428,40808,14116,31172,59233
UKN02,384428,43525,18382,25143,340903,25073,52678,39708,77332,26094,44980,75038
UKN03,434612,44655,18500,26155,389957,26450,54390,41074,84523,35392,56740,91388
UKN04,284667,29564,11182,18382,255103,21592,31738,23402,47436,22782,43919,64234
UKN05,408491,36269,15482,20787,372222,20698,39626,30586,68329,46794,69112,97077
95AA,52540,5093,1866,3227,47447,3219,6466,4308,10753,4698,7638,10365
95BB,77483,8310,3640,4670,69173,4393,10962,8788,15431,5199,8606,15794
95CC,58638,5464,2412,3052,53174,3061,5938,4924,10143,6395,9075,13638
95DD,63403,6381,2849,3532,57022,3442,7876,6572,11827,4913,8163,14229
95EE,31054,2741,1192,1549,28313,1200,3590,2830,5981,2882,4709,7121
95FF,48045,4613,1862,2751,43432,2626,5862,4092,9939,4885,5756,10272
95GG,276141,42401,14555,27846,233740,26451,39532,22428,40808,14116,31172,59233
95HH,38785,4674,1950,2724,34111,2852,5428,3932,7697,2111,4351,7740
95II,66502,8210,3658,4552,58292,3159,9302,7408,13425,4342,7957,12699
95JJ,57761,6715,2858,3857,51046,3577,7628,6160,9776,4515,7130,12260
95KK,36711,3023,1312,1711,33688,1786,3542,2670,6039,4114,6406,9131
95LL,92513,9528,3723,5805,82985,6342,11138,7674,18530,7648,12593,19060
95MM,106500,11366,3639,7727,95134,10851,11396,7002,16510,7599,18059,23717
95NN,68714,6888,2957,3931,61826,4260,7646,6198,12227,6106,10221,15168
95OO,57462,4856,2028,2828,52606,3098,5236,4138,10102,6219,10175,13638
95PP,61064,6356,2716,3640,54708,2736,6770,5196,10244,6339,9381,14042
95QQ,31914,3842,1603,2239,28072,2168,4440,3442,5816,1943,3763,6500
95RR,32850,2811,1086,1725,30039,2136,3658,2520,5983,2793,5176,7773
95SS,118525,11384,4480,6904,107141,8810,14832,10534,23475,9333,16244,23913
95TT,44822,3174,1445,1729,41648,1679,4034,3112,7462,5725,8386,11250
95UU,16907,1950,852,1098,14957,953,1802,1692,2501,1576,2481,3952
95VV,98922,8504,3609,4895,90418,6017,9244,6756,15900,11842,17426,23233
95WW,83141,9265,3977,5288,73876,6225,11426,8310,17037,5401,9080,16397
95XX,77475,9992,4317,5675,67483,4027,11690,9524,15698,4907,7348,14289
95YY,50872,4892,1960,2932,45980,2321,4862,3790,8439,6160,8263,12145
95ZZ,39595,3981,1555,2426,35614,2875,3664,3198,6685,3417,6364,9411
