Geography,GeographyCode,PopulationDensity
Airport,N10000101,1.0706329025334764
Antrim,N10000102,12.241247124968055
Ballyclare,N10000103,2.4457752051826986
Dunsilly,N10000104,0.7778567770182805
Glengormley Urban,N10000105,23.450301270102734
Macedon,N10000106,20.22189054726368
Three Mile Water,N10000107,10.987391605043358
Armagh,N10000201,1.168756036739443
Banbridge,N10000202,1.5117092568612087
Craigavon,N10000203,4.0467172067280766
Cusher,N10000204,0.8049609811335829
Lagan River,N10000205,1.326514295432339
Lurgan,N10000206,5.148602930274562
Portadown,N10000207,1.926921420277913
Balmoral,N10000301,15.167335513277843
Black Mountain,N10000302,19.35755365408893
Botanic,N10000303,46.5321056276084
Castle,N10000304,17.394785231710088
Collin,N10000305,31.981778054439477
Court,N10000306,30.631199443651408
Lisnasharragh,N10000307,35.21926011784024
Oldpark,N10000308,25.678362660527142
Ormiston,N10000309,21.205753703272602
Titanic,N10000310,26.84054094219052
Ballymoney,N10000401,1.0446944655351806
Bann,N10000402,0.4853143624820861
Benbradagh,N10000403,0.4540827950582499
Causeway,N10000404,0.9514896151084548
Coleraine,N10000405,16.756626403478283
Limavady,N10000406,0.8384840951501211
The Glens,N10000407,0.32984856823413156
Ballyarnett,N10000501,13.035981622012287
Derg,N10000502,0.45785857725762535
Faughan,N10000503,0.879914579572477
Foyleside,N10000504,15.625166764501841
Sperrin,N10000505,0.43377309596071617
The Moor,N10000506,6.824067507589823
Waterside,N10000507,18.351551146774497
Enniskillen,N10000601,1.4443256343337911
Erne East,N10000602,0.32458589545622496
Erne North,N10000603,0.3882460022219316
Erne West,N10000604,0.2020447574408656
Mid Tyrone,N10000605,0.30920252818330946
Omagh,N10000606,11.23213070115725
West Tyrone,N10000607,0.3045907846748806
Castlereagh East,N10000701,4.600659247852402
Castlereagh South,N10000702,9.059945766843715
Downshire East,N10000703,1.11010422888326
Downshire West,N10000704,1.7465713757373906
Killultagh,N10000705,1.3652751358421782
Lisburn North,N10000706,16.983783235675432
Lisburn South,N10000707,25.799847244027667
Ballymena,N10000801,18.272962483829236
Bannside,N10000802,1.1096092880146873
Braid,N10000803,0.4932221799691679
Carrick Castle,N10000804,7.595614902736564
Coast Road,N10000805,1.1518583495336345
Knockagh,N10000806,2.9528723487918045
Larne Lough,N10000807,1.2791256934356503
Carntogher,N10000901,0.6561373321005836
Clogher Valley,N10000902,0.4037926440240267
Cookstown,N10000903,0.9205793251278852
Dungannon,N10000904,2.7247493103111142
Magherafelt,N10000905,0.9328869524627615
Moyola,N10000906,0.7845964790673661
Torrent,N10000907,1.0557037352284024
Crotlieve,N10001001,1.175790237840365
Downpatrick,N10001002,1.199927290406933
Newry,N10001003,5.350833977115231
Rowallane,N10001004,1.3705117996936351
Slieve Croob,N10001005,0.6932828679679781
Slieve Gullion,N10001006,0.8620873370967869
The Mournes,N10001007,0.8891745217334472
Ards Peninsula,N10001101,1.1863350023000567
Bangor Central,N10001102,18.79498179560272
Bangor East and Donaghadee,N10001103,7.017339123277911
Bangor West,N10001104,34.850541052105285
Comber,N10001105,1.760392567452205
Holywood and Clandeboye,N10001106,4.140418876919587
Newtownards,N10001107,8.169090019787012
