Geography,GeographyCode,Total,SomeIrish,SomeIrish_pct
Antrim and Newtownabbey,N09000001,140771,11077,7.87
"Armagh City, Banbridge and Craigavon",N09000002,210401,25644,12.19
Belfast,N09000003,333748,51583,15.46
Causeway Coast and Glens,N09000004,137156,13698,9.99
Derry City and Strabane,N09000005,145278,23172,15.95
Fermanagh and Omagh,N09000006,112551,20066,17.83
Lisburn and Castlereagh,N09000007,143766,9949,6.92
Mid and East Antrim,N09000008,134654,6276,4.66
Mid Ulster,N09000009,144036,29397,20.41
"Newry, Mourne and Down",N09000010,175242,32639,18.63
Ards and North Down,N09000011,159009,5116,3.22
