Geography,GeographyCode,Total,ProvidesUnpaidCare,ProvidesUnpaidCare_pct
Antrim and Newtownabbey,N09000001,137340,17797,12.96
"Armagh City, Banbridge and Craigavon",N09000002,204480,24741,12.10
Belfast,N09000003,325629,40155,12.33
Causeway Coast and Glens,N09000004,133773,15987,11.95
Derry City and Strabane,N09000005,141465,17978,12.71
Fermanagh and Omagh,N09000006,109482,12640,11.55
Lisburn and Castlereagh,N09000007,140064,17867,12.76
Mid and East Antrim,N09000008,131458,16660,12.67
Mid Ulster,N09000009,139692,15729,11.26
"Newry, Mourne and Down",N09000010,170352,21380,12.55
Ards and North Down,N09000011,155613,21279,13.67
